prices;fecha;market_caps;total_volumes;Id
1622.30703457785;2022-08-23;193708156170.03223;16648637311.974203;ethereum
1665.7919073919315;2022-08-24;199889229686.9934;17182337491.18613;ethereum
1657.7936424663385;2022-08-25;199117634174.20898;15322907185.334568;ethereum
1697.0769719636442;2022-08-26;204240810436.6186;12905826689.355816;ethereum
1510.1891114840514;2022-08-27;181238520850.37888;23170035981.438354;ethereum
1496.0554659420902;2022-08-28;179887478326.98642;15440053448.984152;ethereum
1438.7470503278116;2022-08-29;173645963258.54285;10575504871.684057;ethereum
1555.1774560415913;2022-08-30;187437853967.29883;16528644851.715965;ethereum
1525.400116232047;2022-08-31;184447549243.54855;19704720195.3797;ethereum
1552.5629662281337;2022-09-01;186670000430.8127;18596055350.613735;ethereum
1588.9803510869067;2022-09-02;191078487039.94174;15076286516.891344;ethereum
1575.1766307276075;2022-09-03;189678877652.6803;15857654357.09863;ethereum
1555.6740772078124;2022-09-04;187266246294.68723;8500114333.500416;ethereum
1578.9493013433012;2022-09-05;190082046955.22556;7827505125.483585;ethereum
1617.9354554854337;2022-09-06;194714097035.8242;11815125728.969868;ethereum
1564.5589540302462;2022-09-07;188733785486.0839;20860201644.41259;ethereum
1629.8832311636493;2022-09-08;196797197824.30237;18560005397.32841;ethereum
1635.9321760130483;2022-09-09;196882691710.49237;16676188643.15121;ethereum
1717.0769569840472;2022-09-10;206873029263.2678;19418675070.680107;ethereum
1779.5190288833046;2022-09-11;214315849498.72748;12521808520.701172;ethereum
1761.317355880691;2022-09-12;211895058510.3476;11692754175.395372;ethereum
1710.1642908515214;2022-09-13;205793007270.87155;16770566236.30973;ethereum
1573.2052136951713;2022-09-14;189778580452.97882;22286700927.338142;ethereum
1635.3682061921256;2022-09-15;196550513818.88647;17198033718.180206;ethereum
1471.999592516298;2022-09-16;177918273632.48117;24787864366.63655;ethereum
1432.215807478607;2022-09-17;172471655154.62585;17892819034.618076;ethereum
1471.2039553630448;2022-09-18;177299639477.4967;10309763882.142286;ethereum
1335.8525523850524;2022-09-19;161378107849.57123;14696599277.019012;ethereum
1379.920704526258;2022-09-20;166370229681.14825;17757533838.1638;ethereum
1324.1905646155858;2022-09-21;159844149938.74484;13605986462.228132;ethereum
1252.7745621685783;2022-09-22;151084586604.48166;18732743241.62821;ethereum
1330.7927929218301;2022-09-23;160415097114.1742;17517188721.084026;ethereum
1329.558806730321;2022-09-24;160823914264.80762;17599766731.24086;ethereum
1318.099347021849;2022-09-25;159030822515.26553;11251326609.48999;ethereum
1294.0750952797787;2022-09-26;156146367767.27133;10552647869.67358;ethereum
1335.1212051991713;2022-09-27;160767471777.8733;15270197375.846754;ethereum
1331.1501769338627;2022-09-28;160800122124.8998;16685874856.004007;ethereum
1340.0230594816517;2022-09-29;161716193676.29504;16571161476.253872;ethereum
1335.7389706335669;2022-09-30;161267455734.36823;11834328252.392088;ethereum
1329.1460320707963;2022-10-01;160462955554.32846;11849125783.759304;ethereum
1311.2633244162857;2022-10-02;158410068981.48102;5052407840.714767;ethereum
1277.901345279672;2022-10-03;154934842225.90906;6227268235.758528;ethereum
1323.5040179722914;2022-10-04;159951067075.9052;8749663554.66095;ethereum
1363.2371821945037;2022-10-05;164781680358.15567;8587836597.469869;ethereum
1352.5865243024869;2022-10-06;163475522281.134;8502549881.905833;ethereum
1351.4273691979538;2022-10-07;163307579801.84253;10653358724.953413;ethereum
1324.8947380290601;2022-10-08;160084472602.33664;9123112355.727316;ethereum
1315.857799905668;2022-10-09;159083423929.71472;4942603337.902456;ethereum
1322.2697552193713;2022-10-10;159586330117.54977;4753165267.937541;ethereum
1291.0816596695552;2022-10-11;156180434676.1384;7492362032.739503;ethereum
1279.8833075472612;2022-10-12;154657511483.1829;8314705467.191551;ethereum
1294.2710513882173;2022-10-13;156488571589.45505;7512521119.536691;ethereum
1288.1640147020812;2022-10-14;155703285133.85605;15374968702.824959;ethereum
1297.6276053223842;2022-10-15;156801885520.45496;11792024290.983032;ethereum
1275.6937773947975;2022-10-16;154496140301.9263;5743906844.859241;ethereum
1306.943118828839;2022-10-17;157219790372.87076;6318629607.96271;ethereum
1333.4408776301655;2022-10-18;160690333948.33112;8639535764.06259;ethereum
1311.8067255158232;2022-10-19;158082173402.60727;9536615488.397163;ethereum
1284.654933702257;2022-10-20;154808369275.81442;8128527355.67816;ethereum
1282.0426467759612;2022-10-21;154512893268.0924;8816030159.087742;ethereum
1299.8019052506386;2022-10-22;156673724237.28812;8731620089.4909;ethereum
1313.767778723105;2022-10-23;158365108378.3375;4996733236.216461;ethereum
1364.4868713063736;2022-10-24;164218113409.75653;7794024007.581724;ethereum
1343.334491985092;2022-10-25;161858058865.06808;10789079575.113602;ethereum
1462.0489375629863;2022-10-26;176051206695.99817;19624530679.956947;ethereum
1568.7475855708392;2022-10-27;189173389239.5451;24505395072.046234;ethereum
1514.8635252533977;2022-10-28;182723289741.9848;17752430680.403706;ethereum
1555.0292135813938;2022-10-29;187324850268.18915;15641652314.210123;ethereum
1619.4295836277443;2022-10-30;195052502985.67032;17044927217.751923;ethereum
1591.0517734961002;2022-10-31;191500820025.9781;10366405350.250761;ethereum
1572.979514885975;2022-11-01;189478578997.59592;14900137160.396046;ethereum
1580.3787334402593;2022-11-02;190428736966.3317;19199900507.15055;ethereum
1520.6383643789845;2022-11-03;183368006193.10986;27498708818.133373;ethereum
1531.112630741574;2022-11-04;184398997533.25903;22537458293.692245;ethereum
1644.1928578089398;2022-11-05;198053929735.65234;36953923774.760704;ethereum
1626.8064304933644;2022-11-06;196264485041.5907;21174006976.119827;ethereum
1572.9477769721586;2022-11-07;189763621397.94974;22195586345.876583;ethereum
1569.9886360033397;2022-11-08;188875473098.02014;30344896841.852493;ethereum
1334.2879331082395;2022-11-09;160813058133.9897;32343101742.62143;ethereum
1095.1839771132936;2022-11-10;131794377265.61275;29253284762.659542;ethereum
1301.5538803074423;2022-11-11;156380990539.85645;24039423467.45047;ethereum
1293.9115948871518;2022-11-12;155222424523.53937;17355612789.319725;ethereum
1255.6010507578437;2022-11-13;151059842003.22357;8636739779.554464;ethereum
1223.0064433283683;2022-11-14;147426038251.7689;7719000328.307081;ethereum
1241.997092728311;2022-11-15;149987178583.21732;12056844339.739658;ethereum
1252.7067308366848;2022-11-16;151062413577.56232;8940477028.374247;ethereum
1217.7020892163014;2022-11-17;146462319554.31644;8870530650.446701;ethereum
1201.7898419641292;2022-11-18;144894942760.29672;7075882101.619532;ethereum
1213.49631006335;2022-11-19;146145817586.6032;5600678512.529781;ethereum
1218.8936571112463;2022-11-20;146971097131.67468;3722348151.0022244;ethereum
1144.2531525085535;2022-11-21;137964810712.74976;6826180055.62674;ethereum
1110.2882130124592;2022-11-22;133733639793.52232;10372965080.612862;ethereum
1135.175811894246;2022-11-23;137050514642.06917;9220536958.839794;ethereum
1184.4617581029652;2022-11-24;142854533237.69275;9189536303.575544;ethereum
1204.2078028331202;2022-11-25;145091739838.44122;6955523718.221009;ethereum
1198.9755884889066;2022-11-26;144810246844.91675;5823202533.487156;ethereum
1205.6579602157142;2022-11-27;145222050633.46432;5271100859.564753;ethereum
1196.1962195659255;2022-11-28;144507830172.60718;4150923882.274703;ethereum
1170.115741471507;2022-11-29;141048501904.6694;6467273323.741678;ethereum
1216.936420693739;2022-11-30;146749281622.5983;7132972094.453388;ethereum
1298.94077037352;2022-12-01;156777674228.40683;9889408117.518559;ethereum
1276.6393714030964;2022-12-02;153787135286.89285;6400063074.120894;ethereum
1293.9480231782143;2022-12-03;155766037022.93884;5644934957.241694;ethereum
1243.0408423289737;2022-12-04;150322759022.75156;5183647936.284697;ethereum
1282.4164481394064;2022-12-05;154484879835.4558;4842789176.374092;ethereum
1259.7575748565346;2022-12-06;151960138515.5798;5795682744.772271;ethereum
1271.9354761263946;2022-12-07;153112232020.5009;4765089563.175744;ethereum
1233.6250483990402;2022-12-08;148778387852.61035;5392077793.333963;ethereum
1281.210637067264;2022-12-09;154438830699.8818;5929103713.4824705;ethereum
1264.4773467215684;2022-12-10;152405570526.73016;5743935111.263781;ethereum
1264.7922793495136;2022-12-11;152480155389.30975;3136321665.2746277;ethereum
1264.317985551174;2022-12-12;152290250844.83786;3179021750.4472365;ethereum
1275.332421155143;2022-12-13;153743004467.3702;5107100671.713232;ethereum
1319.413007743119;2022-12-14;159205793114.4748;8667920250.973438;ethereum
1308.4001523403851;2022-12-15;157633274799.26862;8063349707.439905;ethereum
1263.7464240856877;2022-12-16;152444818382.92126;6014960880.483797;ethereum
1165.9737772823325;2022-12-17;140289330990.1754;9306680537.671982;ethereum
1189.4275215641987;2022-12-18;143321475845.90793;4893469369.238545;ethereum
1186.7779210362507;2022-12-19;143142028259.18048;3175705524.420867;ethereum
1166.9895905156618;2022-12-20;140848456817.4131;4281620919.9824796;ethereum
1217.8888916641765;2022-12-21;146802833364.30045;6463130153.512681;ethereum
1213.3431612255224;2022-12-22;146039250786.06482;4086534541.450752;ethereum
1217.8525497108176;2022-12-23;146741009624.09518;5190165001.535945;ethereum
1220.701744919786;2022-12-24;147069822795.65387;4777025971.87922;ethereum
1221.3595303484499;2022-12-25;147173116811.52798;2443348024.2152143;ethereum
1219.286343216304;2022-12-26;146840669268.71204;3694243212.8174734;ethereum
1226.2534148310056;2022-12-27;147697269147.94653;3071221733.631151;ethereum
1211.819562063861;2022-12-28;146030514727.00162;4221450706.7612934;ethereum
1188.7286638821608;2022-12-29;143241827136.73636;5177421363.012343;ethereum
1201.5431060594274;2022-12-30;144831301452.10547;4174715683.6280565;ethereum
1199.1104971711857;2022-12-31;144611517916.40677;4110733112.8102927;ethereum
1196.6130648084502;2023-01-01;144188788703.97467;2891351007.4251895;ethereum
1200.65921690107;2023-01-02;144712215098.15164;2179799161.0385365;ethereum
