prices;fecha;market_caps;total_volumes;Id
1.5894560719577682;2022-08-23;1426496907.8243234;48565831.565205775;tezos
1.5959271808741204;2022-08-24;1435091010.0203564;34165862.43963082;tezos
1.6049157552427347;2022-08-25;1442125742.5973725;48152172.288496494;tezos
1.6702966207121157;2022-08-26;1503566741.6791465;50056064.863562316;tezos
1.4819665502570214;2022-08-27;1326656085.8336556;56397438.45218788;tezos
1.466897291227411;2022-08-28;1320008502.6272776;38515740.18954568;tezos
1.4406347232535714;2022-08-29;1296130083.2477498;25618166.145456024;tezos
1.5342861928440348;2022-08-30;1380089309.3024945;30870829.875528328;tezos
1.4972040596968343;2022-08-31;1350320417.662632;29834177.92649159;tezos
1.511300737356241;2022-09-01;1358794120.379145;30249473.39617205;tezos
1.5405575552845676;2022-09-02;1385245199.8165095;25292614.796263274;tezos
1.4897937973864372;2022-09-03;1341872137.846339;34631454.46742477;tezos
1.520733700487284;2022-09-04;1370015492.3262713;21366173.192892198;tezos
1.5556172817007088;2022-09-05;1401266524.049992;20381538.807982847;tezos
1.5454699463249224;2022-09-06;1389015363.2056758;25640172.773438677;tezos
1.4326585428659313;2022-09-07;1291285775.1830864;43027130.79844364;tezos
1.4934304548124948;2022-09-08;1347068286.369399;28582382.20579231;tezos
1.5951231119324236;2022-09-09;1435411520.9769485;54794217.66256678;tezos
1.6429081465953452;2022-09-10;1477737702.3037617;54183512.209424086;tezos
1.6649210699254273;2022-09-11;1500420774.461547;36057782.01644879;tezos
1.680397431666642;2022-09-12;1513851835.663025;55955962.40961715;tezos
1.6516217669775042;2022-09-13;1485303233.6728587;49102034.17118939;tezos
1.5341196215054536;2022-09-14;1383048783.6731625;67512445.64892566;tezos
1.6082650077783807;2022-09-15;1445820493.395697;41325030.366025776;tezos
1.5246897745167713;2022-09-16;1375139881.3162498;53938852.76654635;tezos
1.5181659739365694;2022-09-17;1367204090.8829038;37518446.95790291;tezos
1.5524700257238182;2022-09-18;1399272222.4931433;21652761.040424127;tezos
1.4429838338471404;2022-09-19;1302173832.673921;32794238.10801141;tezos
1.4881846728827688;2022-09-20;1342076237.6902316;43872014.802045934;tezos
1.4644665180540568;2022-09-21;1321661624.427052;37233932.554114036;tezos
1.4129676024831856;2022-09-22;1273967809.524982;62818987.85617155;tezos
1.5124077987226574;2022-09-23;1362393263.3760548;41134431.00616543;tezos
1.52629872772308;2022-09-24;1380231156.1854165;41683731.036839806;tezos
1.4803769934123534;2022-09-25;1334663062.19287;27113864.00962028;tezos
1.4621380379127336;2022-09-26;1320207651.829524;20691879.66993663;tezos
1.4733229285871283;2022-09-27;1327924875.9595113;23109872.69654058;tezos
1.4491977356303458;2022-09-28;1314082175.344623;35665923.71299209;tezos
1.4413720336560738;2022-09-29;1298545835.6007557;34117907.636116885;tezos
1.438912403651638;2022-09-30;1298378864.4003751;24358716.131149847;tezos
1.4242640267749744;2022-10-01;1286350339.332456;26770314.41106078;tezos
1.4170981808626602;2022-10-02;1279791188.3303165;12844740.606892873;tezos
1.3788391437995318;2022-10-03;1250955147.4925096;16214147.147609776;tezos
1.4433212308096852;2022-10-04;1304626596.6583624;31110100.693070397;tezos
1.4597096804389436;2022-10-05;1316603248.603863;21386158.18546534;tezos
1.4299677258003078;2022-10-06;1290909060.4337637;18166934.433747113;tezos
1.4310198754181314;2022-10-07;1292880877.6535058;24989336.27266194;tezos
1.4098857741693755;2022-10-08;1273701535.2402842;20173739.53238466;tezos
1.4165545777387352;2022-10-09;1280672441.6202273;10832199.707444271;tezos
1.427188050909256;2022-10-10;1287027021.6159105;10105678.152563578;tezos
1.3724288753907983;2022-10-11;1245980038.8213632;15453640.6280583;tezos
1.3425721948342526;2022-10-12;1212172334.2961626;17560423.021160904;tezos
1.3566630399488244;2022-10-13;1224721159.7628698;12053635.3098516;tezos
1.3841657005284884;2022-10-14;1250688698.8439736;49229652.8198846;tezos
1.3714539272486639;2022-10-15;1239137477.4633489;24076967.589067485;tezos
1.356278363312064;2022-10-16;1228288204.5810077;10642163.849120993;tezos
1.3549622876402412;2022-10-17;1224683716.1913822;11830679.78837532;tezos
1.3927979740697145;2022-10-18;1260723898.5614774;16027001.944082642;tezos
1.377844936488446;2022-10-19;1248359058.1803534;21367989.12689096;tezos
1.3266976834368522;2022-10-20;1204186045.5477197;26846251.28420471;tezos
1.3228304269446416;2022-10-21;1195124986.6159737;22417602.026367005;tezos
1.3461306213479556;2022-10-22;1214813640.409254;20937522.27781376;tezos
1.3481218755940074;2022-10-23;1212388608.8386676;11355150.277682858;tezos
1.3743940089652413;2022-10-24;1244337517.1414208;17252174.457430396;tezos
1.3522030607216107;2022-10-25;1225008228.1669242;57592493.276539184;tezos
1.3885647424841063;2022-10-26;1258061370.1137378;31162094.81620692;tezos
1.434434046174803;2022-10-27;1297454846.3933153;33607681.48443019;tezos
1.4156789175942268;2022-10-28;1283136016.7044892;33235857.78499842;tezos
1.4412849196125823;2022-10-29;1306416976.9474452;27027953.952772494;tezos
1.4405277317395189;2022-10-30;1303612301.6071033;31883813.57402284;tezos
1.420915531459976;2022-10-31;1286691937.8354785;26814470.341027975;tezos
1.4297480234682272;2022-11-01;1292964566.9249952;35456055.82048369;tezos
1.4171841229024944;2022-11-02;1284909423.5492182;30786180.509163994;tezos
1.3837264646529173;2022-11-03;1255133401.0030193;37626084.81162535;tezos
1.36808491169039;2022-11-04;1239155109.93962;62392147.46039007;tezos
1.4401732441334993;2022-11-05;1301789728.2355986;82677918.44715513;tezos
