prices;fecha;market_caps;total_volumes;Id
11.06334752567311;2022-08-23;3226325403.971636;271655771.0374739;cosmos
12.142024542898195;2022-08-24;3552948259.582964;540500472.8133742;cosmos
13.013569390043344;2022-08-25;3802531017.91575;681484716.9175633;cosmos
12.877309727470042;2022-08-26;3771910006.7364187;473629380.3649624;cosmos
11.530672478768455;2022-08-27;3354602524.9159355;503597307.5482596;cosmos
11.264204009515938;2022-08-28;3299663258.4864097;349166383.06981647;cosmos
10.625778737190165;2022-08-29;3105295636.4227643;198428516.41847447;cosmos
11.453184611706964;2022-08-30;3362702422.939415;291509404.8183518;cosmos
11.923436410846127;2022-08-31;3501709665.511461;416869865.8722546;cosmos
11.80089438244133;2022-09-01;3459927805.7112684;319311700.43307483;cosmos
12.752393607918428;2022-09-02;3741868322.4365754;369322122.98208016;cosmos
12.632846124180249;2022-09-03;3700586933.47712;326145284.5246819;cosmos
12.616066517705681;2022-09-04;3696059765.7952824;233860922.76744613;cosmos
12.943345921597478;2022-09-05;3776747965.5710807;231578698.61430478;cosmos
12.65333011803164;2022-09-06;3710953654.107014;252477911.93061575;cosmos
11.825420919608753;2022-09-07;3468729406.574549;367761450.2427322;cosmos
12.972148745892936;2022-09-08;3806106480.750239;364068331.5716024;cosmos
13.860224136219005;2022-09-09;4054824428.536555;594193556.7096083;cosmos
16.05408433243173;2022-09-10;4697025669.010121;1159544518.620168;cosmos
16.04948367418614;2022-09-11;4693914315.930179;593370225.812258;cosmos
15.670024612415324;2022-09-12;4585098150.257149;404905195.6689328;cosmos
15.490967925658044;2022-09-13;4529022523.744095;585095715.3583813;cosmos
13.932606940488691;2022-09-14;4080825312.6333637;573783253.0743327;cosmos
14.032191787965404;2022-09-15;4087786502.2835994;362375905.02842563;cosmos
14.876547959298833;2022-09-16;4346573318.771043;719757838.6787791;cosmos
16.622147958719605;2022-09-17;4871880091.95036;771352440.508687;cosmos
16.490719680737374;2022-09-18;4825854245.949223;540885501.2525756;cosmos
14.768411582106394;2022-09-19;4324018736.442685;444702299.87703687;cosmos
15.685418316033665;2022-09-20;4596019874.086253;736972031.3615288;cosmos
13.951994254014277;2022-09-21;4083723908.588115;509788901.30966765;cosmos
13.484298052330358;2022-09-22;3935707894.073584;685461787.9680612;cosmos
14.664572318544492;2022-09-23;4289767543.2452946;568096375.5103246;cosmos
14.243810720050144;2022-09-24;4178647847.9458294;633261158.2322917;cosmos
13.663733785202602;2022-09-25;4000937041.583637;303347496.037679;cosmos
14.077002033751851;2022-09-26;4126811896.946844;434730957.2456247;cosmos
13.898333812113009;2022-09-27;4054035661.9458175;623207134.2603076;cosmos
13.539054930233767;2022-09-28;3965802018.105789;554169001.5786457;cosmos
13.062802263044027;2022-09-29;3819965691.0591455;482012382.5387462;cosmos
12.800598340597977;2022-09-30;3745666229.8834677;349447267.3831819;cosmos
13.005893016177016;2022-10-01;3800071527.6063027;347150616.99450094;cosmos
12.673153101267072;2022-10-02;3706033612.3981957;165972934.35987478;cosmos
12.04651962922931;2022-10-03;3555127224.9742975;198028081.93650454;cosmos
12.890292401216339;2022-10-04;3775446759.281564;314293186.91367674;cosmos
13.023405285355434;2022-10-05;3812092740.392533;273488647.5080629;cosmos
12.984190073573632;2022-10-06;3806525532.466485;220475542.16477063;cosmos
12.994589883126046;2022-10-07;3802658008.1754093;299523957.30282664;cosmos
12.855065200638572;2022-10-08;3758324057.041176;245306817.91700146;cosmos
13.12308775403825;2022-10-09;3841599262.087674;192120031.76624146;cosmos
13.212799666364111;2022-10-10;3857332557.186759;140453127.35778135;cosmos
12.472543727839556;2022-10-11;3652248381.93651;191289195.7750929;cosmos
12.16514695579542;2022-10-12;3553794040.364776;206103277.5927268;cosmos
11.746409931363186;2022-10-13;3435628052.6214547;185571267.24596873;cosmos
11.395706114525957;2022-10-14;3332445362.830962;342779952.5334148;cosmos
11.648597257647205;2022-10-15;3398226514.22209;297956811.07597464;cosmos
11.542433410230448;2022-10-16;3380946157.785875;122785533.67278016;cosmos
11.722493582715662;2022-10-17;3431718672.5685678;119199899.61662987;cosmos
12.445576108016605;2022-10-18;3648658609.5672345;220361770.85094166;cosmos
12.548492513664602;2022-10-19;3670449569.279014;240264533.16807288;cosmos
11.777005322954668;2022-10-20;3446658685.159152;231960403.4855815;cosmos
11.37993741990054;2022-10-21;3327665880.0234656;197380478.24693555;cosmos
11.747417557274678;2022-10-22;3436037429.292833;206831896.01863125;cosmos
11.724453531852959;2022-10-23;3432341375.454852;139122287.8113248;cosmos
12.119794125758053;2022-10-24;3540332704.838056;160580843.4668194;cosmos
11.648232255374804;2022-10-25;3408240319.5630403;177239057.2418264;cosmos
12.011673921305235;2022-10-26;3514389393.1514344;225517983.21891636;cosmos
12.293547600283318;2022-10-27;3596953240.5811014;271405185.260353;cosmos
12.700921229608971;2022-10-28;3718926304.8963156;402078426.0304117;cosmos
13.516997379649286;2022-10-29;3950609946.9492774;693840421.0064735;cosmos
13.447309189506104;2022-10-30;3929647548.7587514;350193406.0643201;cosmos
13.928708923749655;2022-10-31;4067694192.3692765;334879624.53795284;cosmos
14.308808618503482;2022-11-01;4185210401.9873357;412360470.6240731;cosmos
14.116630592629102;2022-11-02;4127809494.454591;402599360.87767744;cosmos
13.308627831326236;2022-11-03;3895991302.3697577;467791366.30951697;cosmos
13.489231440443984;2022-11-04;3936739012.2644997;410386855.4926165;cosmos
15.035727184249211;2022-11-05;4392825034.698253;565723356.5686938;cosmos
15.402044023457346;2022-11-06;4507497415.224252;444533153.4580625;cosmos
