prices;fecha;market_caps;total_volumes;Id
7.402169823069187;2022-08-23;8450196394.7235985;293458774.69653;polkadot
7.65794979782759;2022-08-24;8747771938.814651;328997051.524054;polkadot
7.581044670572473;2022-08-25;8681481222.76114;270013995.87179303;polkadot
7.59438701810938;2022-08-26;8709104447.676794;233753956.12490514;polkadot
6.937489346438347;2022-08-27;7910360418.702681;338509659.2806309;polkadot
7.062807230819954;2022-08-28;8094454288.933932;264326212.12453198;polkadot
6.895424792064857;2022-08-29;7904906863.210184;192071231.52542433;polkadot
7.290118968272859;2022-08-30;8360169420.422865;278447038.21825695;polkadot
6.984391608517394;2022-08-31;8053688426.145474;264676362.7892612;polkadot
7.019343630471642;2022-09-01;8041149795.790877;239489891.2733127;polkadot
7.193081069206047;2022-09-02;8244074802.016993;267990947.572671;polkadot
7.3019734403613725;2022-09-03;8363690740.074321;349647674.49128175;polkadot
7.276799953721473;2022-09-04;8358887669.340904;197241570.15928125;polkadot
7.374550409292204;2022-09-05;8458100395.998685;215999275.7426145;polkadot
7.362505243906269;2022-09-06;8448942576.525926;294534221.9765169;polkadot
6.892565163556254;2022-09-07;7927675072.449328;395188284.97998774;polkadot
7.202308390586858;2022-09-08;8281145104.426949;317512665.2320209;polkadot
7.395360164932129;2022-09-09;8494892119.744665;336043666.79299015;polkadot
7.762750555283015;2022-09-10;8930263758.923895;357445285.7066698;polkadot
7.794452310539513;2022-09-11;8963321266.752571;273468652.7839261;polkadot
7.685712587696711;2022-09-12;8842559955.013815;249226804.14856288;polkadot
7.643022794488279;2022-09-13;8794425064.494183;418330939.99678606;polkadot
7.0851159860761745;2022-09-14;8153896049.837282;423497658.6158054;polkadot
7.213760436420992;2022-09-15;8287223105.581056;288042764.5222527;polkadot
6.925994666672714;2022-09-16;7986527235.292601;331917684.92857593;polkadot
6.885169664119995;2022-09-17;7930762988.751271;281326251.4442499;polkadot
7.062033609787554;2022-09-18;8133724043.01097;200117947.7609119;polkadot
6.451319275569396;2022-09-19;7444358864.841;304668233.4065653;polkadot
6.400147682393467;2022-09-20;7395756926.515954;374381504.5999829;polkadot
6.2735544717347125;2022-09-21;7234401006.965719;249671892.20249358;polkadot
6.15507954434087;2022-09-22;7090934908.920663;378987568.43804663;polkadot
6.459199231132459;2022-09-23;7443065137.032053;261158472.98531902;polkadot
6.4387239867675765;2022-09-24;7456703132.509926;338069357.26604915;polkadot
6.279193352283581;2022-09-25;7251574448.160442;204567906.99327344;polkadot
6.2090362798894345;2022-09-26;7159920013.085959;189022810.3120595;polkadot
6.537305452547308;2022-09-27;7540850498.713729;373281606.89103955;polkadot
6.385907691464419;2022-09-28;7385624069.108253;320786055.5385544;polkadot
6.402230753147547;2022-09-29;7403608529.936789;252245048.66838986;polkadot
6.424362258931859;2022-09-30;7428715004.611359;248460354.27300838;polkadot
6.318884540630228;2022-10-01;7310803464.732821;310145298.629885;polkadot
6.270177916210261;2022-10-02;7252843118.61635;171677814.68415865;polkadot
