Time;Open;High;Low;Close;Id
2022-08-23;0.46104;0.46104;0.46104;0.46104;cardano
2022-08-27;0.466197;0.466197;0.432468;0.432468;cardano
2022-08-31;0.451847;0.45267;0.431755;0.45267;cardano
2022-09-03;0.446673;0.458588;0.446673;0.454896;cardano
2022-09-07;0.480292;0.502611;0.464312;0.464312;cardano
2022-09-11;0.479832;0.512566;0.479832;0.512566;cardano
2022-09-15;0.508572;0.508572;0.465585;0.482232;cardano
2022-09-19;0.466534;0.487738;0.448576;0.448576;cardano
2022-09-23;0.454707;0.460223;0.441999;0.460223;cardano
2022-09-27;0.462678;0.462678;0.446768;0.446768;cardano
2022-09-30;0.442535;0.442535;0.437977;0.437977;cardano
2022-10-03;0.434426;0.434426;0.420336;0.420336;cardano
2022-10-07;0.428423;0.436412;0.428423;0.428991;cardano
2022-10-11;0.425298;0.425298;0.402073;0.402073;cardano
2022-10-15;0.390872;0.390872;0.367276;0.367276;cardano
2022-10-19;0.364051;0.373398;0.362522;0.362522;cardano
2022-10-23;0.350022;0.351573;0.340137;0.351573;cardano
2022-10-27;0.361917;0.403245;0.357178;0.403245;cardano
2022-10-31;0.388859;0.4182;0.388859;0.405308;cardano
2022-11-03;0.406161;0.406161;0.386211;0.386211;cardano
2022-11-07;0.38929;0.426924;0.38929;0.404043;cardano
2022-11-11;0.404244;0.404244;0.315975;0.369885;cardano
2022-11-15;0.356334;0.356334;0.330178;0.332581;cardano
2022-11-19;0.337922;0.337922;0.325643;0.327199;cardano
2022-11-23;0.329133;0.329133;0.305546;0.312196;cardano
2022-11-27;0.319364;0.319364;0.314328;0.314328;cardano
2022-11-30;0.313773;0.313773;0.307044;0.310072;cardano
2022-12-03;0.320363;0.320363;0.315338;0.319961;cardano
2022-12-07;0.320838;0.323576;0.319157;0.319157;cardano
2022-12-11;0.310985;0.314918;0.310985;0.313122;cardano
2022-12-15;0.30826;0.312275;0.307182;0.308364;cardano
2022-12-19;0.299541;0.299541;0.264476;0.266603;cardano
2022-12-23;0.252834;0.259473;0.252834;0.256659;cardano
2022-12-27;0.259871;0.265371;0.259596;0.265371;cardano
2022-12-31;0.260492;0.260492;0.244315;0.245712;cardano
2023-01-03;0.246398;0.253948;0.246398;0.253948;cardano
2023-01-07;0.253144;0.278878;0.253144;0.278878;cardano
2023-01-11;0.277452;0.322658;0.277452;0.322658;cardano
2023-01-15;0.323409;0.351912;0.323409;0.351912;cardano
2023-01-19;0.350457;0.350457;0.327856;0.327856;cardano
2023-01-23;0.339538;0.377546;0.339538;0.377546;cardano
2023-01-27;0.376491;0.380743;0.359069;0.380743;cardano
2023-01-31;0.389889;0.396803;0.373281;0.373281;cardano
2023-02-03;0.392327;0.399495;0.392327;0.399495;cardano
2023-02-07;0.404939;0.404939;0.383023;0.383023;cardano
2023-02-11;0.399503;0.399503;0.359085;0.359085;cardano
2023-02-15;0.370121;0.387292;0.36016;0.387292;cardano
2023-02-19;0.413085;0.413085;0.390815;0.406912;cardano
2023-02-23;0.399433;0.403082;0.388799;0.388799;cardano
2023-02-27;0.38372;0.38372;0.362651;0.369101;cardano
2023-02-28;0.365401;0.365401;0.35045;0.35045;cardano
2023-03-07;0.343687;0.343687;0.331456;0.331456;cardano
2023-03-11;0.33134;0.33134;0.310324;0.315614;cardano
2023-03-15;0.305931;0.344403;0.305931;0.344403;cardano
2023-03-19;0.325547;0.350248;0.325547;0.338968;cardano
2023-03-23;0.348534;0.373104;0.334675;0.363063;cardano
2023-03-27;0.373908;0.373908;0.354723;0.357011;cardano
2023-03-31;0.346916;0.382589;0.346916;0.377093;cardano
2023-04-03;0.399465;0.399465;0.382296;0.382296;cardano
2023-04-07;0.387779;0.39267;0.383787;0.383787;cardano
2023-04-11;0.384286;0.397182;0.384286;0.397182;cardano
2023-04-15;0.401664;0.43892;0.401664;0.43892;cardano
2023-04-19;0.454158;0.454158;0.434619;0.443614;cardano
2023-04-23;0.41525;0.41525;0.382983;0.396924;cardano
2023-04-27;0.389096;0.401301;0.384051;0.401301;cardano
2023-04-30;0.410319;0.410319;0.402617;0.402617;cardano
2023-05-03;0.398259;0.398259;0.387299;0.391565;cardano
2023-05-07;0.393838;0.394535;0.380261;0.380261;cardano
2023-05-11;0.378091;0.378091;0.363578;0.370609;cardano
2023-05-15;0.360629;0.370819;0.360629;0.370819;cardano
2023-05-19;0.368085;0.375195;0.368085;0.372739;cardano
2023-05-23;0.368599;0.368599;0.361094;0.368246;cardano
2023-05-27;0.370583;0.370583;0.358557;0.362998;cardano
2023-05-31;0.367052;0.383357;0.367052;0.377981;cardano
2023-06-03;0.375086;0.37849;0.365175;0.37849;cardano
2023-06-07;0.375948;0.378625;0.35208;0.354105;cardano
2023-06-11;0.322391;0.323167;0.27631;0.27631;cardano
2023-06-15;0.272899;0.275657;0.263209;0.263209;cardano
2023-06-19;0.2617;0.266965;0.261127;0.261127;cardano
2023-06-23;0.263035;0.29026;0.263035;0.29026;cardano
2023-06-27;0.295871;0.295871;0.280616;0.280616;cardano
2023-06-30;0.286364;0.286364;0.266987;0.275736;cardano
2023-07-03;0.286846;0.292131;0.286846;0.291575;cardano
2023-07-07;0.295718;0.295718;0.280017;0.280017;cardano
2023-07-11;0.284154;0.290593;0.284154;0.287748;cardano
2023-07-15;0.292667;0.356884;0.288738;0.328667;cardano
2023-07-19;0.325938;0.325938;0.306933;0.306933;cardano
2023-07-23;0.324082;0.324082;0.308174;0.308174;cardano
2023-07-27;0.317034;0.317034;0.303891;0.306585;cardano
2023-07-31;0.307431;0.315337;0.307431;0.315337;cardano
2023-08-03;0.307346;0.309375;0.299005;0.299005;cardano
2023-08-07;0.292438;0.293599;0.291698;0.291698;cardano
2023-08-11;0.290181;0.301206;0.290181;0.296027;cardano
2023-08-15;0.293325;0.293325;0.289372;0.290452;cardano
2023-08-19;0.281729;0.281729;0.254361;0.263688;cardano
2023-08-23;0.268186;0.270308;0.262942;0.262942;cardano
